time,battery_current(A),battery_temperature(C),battery_voltage(V),controller_temperature(C),daily_load_consumption(Wh),daily_solar_production(Wh),daily_wind_turbine_production(Wh),dump_load_current(A),load_voltage(V),output_current(A),solar_current(A),solar_voltage(V),total_load_consumption(Wh),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-08-26 17:00:00+03:00,0.4,1976.5999999999997,1485.0,2087.0999999999995,0,22165,0,0,1467.4,0.0,0.2,2039.099999999999,272195,443850,55,0,1729,326.6000000000001
2020-08-26 18:00:00+03:00,0.0,1861.9000000000008,1539.0,1996.3999999999999,0,22971,0,0,1517.9999999999986,0.0,0.0,2103.799999999999,282093,459990,57,0,1206,236.60000000000002
2020-08-26 19:00:00+03:00,0.0,1727.4,1561.1,1861.1999999999998,0,23374,0,0,1541.2000000000007,0.0,0.0,1865.8,287042,468060,58,0,0,0.6
2020-08-26 20:00:00+03:00,0.0,1661.6000000000004,1567.7999999999997,1802.7,0,24180,0,0,1490.0999999999983,0.0,0.0,865.4,287042,484200,58,0,0,0.4
2020-08-26 21:00:00+03:00,0.0,1552.3000000000002,1529.9,1682.8999999999996,0,5239,0,0,1475.1,2.5,0.0,391.2,292038,484200,59,0,0,1.3
2020-08-26 22:00:00+03:00,0.0,1438.2999999999995,1530.0,1562.4,0,0,0,0,1475.2,0.0,0.0,404.4000000000001,292050,484200,59,0,0,0.0
2020-08-26 23:00:00+03:00,0.0,1368.0,1530.0,1484.6000000000008,0,0,0,0,1500.0,0.0,0.0,409.3999999999997,297000,484200,60,0,0,0.0
2020-08-27 00:00:00+03:00,0.0,1309.0000000000002,1504.5,1416.0999999999997,0,0,0,0,1475.0,0.0,0.0,402.4000000000003,292050,476130,59,0,0,0.0
2020-08-27 01:00:00+03:00,0.0,1353.9,1486.6000000000015,1632.6999999999998,1490,0,0,0,1431.5000000000016,124.09999999999987,0.0,311.30000000000035,288575,476130,58,0,0,48.99999999999996
2020-08-27 02:00:00+03:00,0.0,1368.4000000000003,1461.6000000000015,1710.8999999999994,4483,0,0,0,1407.9000000000015,121.79999999999987,0.0,297.4,286584,468060,57,0,0,46.39999999999996
2020-08-27 03:00:00+03:00,0.0,1391.9,1512.0000000000016,1767.600000000001,7726,0,0,0,1429.4999999999989,125.99999999999986,0.0,295.90000000000026,294571,484200,58,0,0,47.99999999999996
